word	ch	gl	ex	rank	level
đóa	朵./朶	a flower	a flower (đóa hoa)	4663	C
múi	𤗆	a section (fruit)	a section (of grapefruit: múi bưởi, of tangerine: mú quít; of orange: múi cam)	4809	C
thúng		a market basketful	a market basketful (of eggplant: thúng cà)	5037	C
quẻ	卦	a divination diagram, a horoscope	a divination diagram, a horoscope (quẻ bói)	6055	C
chòm	𥬧	a cluster	a cluster (of trees: chòm cây)	6062	C
chum		an earthware jarful	an earthenware jarful (of water: chum nước)	6421	C
nải		a hand	a hand (of bananas: nải chuối)	8005	C
rương	箱	a trunkful	a trunkful (of clothes: rương quần áo)	9012	C
thửa		a plot	a plot (of land: thửa đất; of rice field: thửa ruộng).	9624	C
ang		a glass container	a glass container (of goldfish: ang cá vàng)	9977	C
chỏm		a mountain	a mountain (chỏm núi)	11467	C
